val1	val2	val3	val4	val5	val6	val7	val8	val9	val10	val11	val12	Answer
534	537	537	542	534	536	534	534	539	426	0	1	1
510	535	533	536	535	534	537	535	541	538	240	7	1
541	533	538	532	530	531	540	527	527	526	2	3	1
60	534	538	542	534	538	568	536	537	536	484	0	1
76	534	531	541	535	531	539	535	526	526	455	0	1
121	538	535	531	538	535	531	540	538	534	545	25	1
92	536	527	547	534	526	545	536	527	528	325	0	1
528	531	547	533	532	545	530	536	545	530	452	6	1
185	534	539	531	531	547	532	534	527	531	365	2	1
121	537	558	585	540	535	537	537	534	536	411	2	1
83	529	534	543	530	532	542	530	535	548	404	0	1
222	537	532	533	548	532	533	539	535	533	100	1	1
67	541	528	534	542	528	534	545	528	546	538	15	1
31	531	532	544	541	530	540	541	539	540	463	1	1
36	528	532	543	529	540	537	537	531	542	485	0	1
138	543	530	532	544	533	533	559	596	559	536	61	1
32	542	555	526	536	538	526	545	539	533	450	6	1
521	533	550	546	527	542	535	526	542	487	0	5	1
62	528	536	534	542	529	536	536	532	536	470	0	1
540	532	530	541	533	530	541	533	530	537	115	0	1
530	539	543	528	540	541	529	563	533	535	44	5	1
145	543	529	536	542	529	536	542	528	537	444	29	1
162	533	547	529	534	543	528	533	544	528	425	3	1
86	545	527	537	545	527	532	545	527	541	402	0	1
94	544	543	529	532	540	532	531	545	534	427	3	1
534	538	535	532	540	535	532	539	536	532	144	4	1
61	535	530	535	548	535	535	539	530	535	427	0	1
533	536	538	539	536	533	535	535	534	467	0	5	1
86	548	534	526	536	537	530	544	529	527	382	1	1
181	536	533	537	534	533	538	536	533	539	509	0	1
313	222	243	230	230	200	232	225	233	242	147	78	2
292	229	211	174	204	189	205	235	232	217	172	98	2
213	233	217	234	227	244	196	233	232	234	152	57	2
268	220	216	221	230	224	225	246	228	223	151	73	2
276	226	213	233	231	218	229	232	232	240	150	92	2
195	218	217	225	222	240	215	238	224	234	159	101	2
286	214	224	227	232	230	221	233	229	228	197	154	2
261	209	220	202	221	245	244	228	209	236	164	95	2
299	237	220	216	239	244	234	245	226	234	156	98	2
225	222	235	217	236	231	235	243	230	226	152	81	2
267	217	227	223	230	255	232	237	216	226	168	96	2
127	243	229	236	218	229	234	217	250	213	150	83	2
232	200	216	232	231	232	237	228	226	238	169	91	2
267	222	225	224	234	236	230	247	215	236	167	94	2
276	220	194	196	218	220	245	223	229	240	183	141	2
240	243	249	217	232	230	245	227	224	226	187	111	2
302	225	244	235	218	224	179	224	219	233	159	69	2
239	218	227	226	215	229	217	219	223	217	185	104	2
275	246	215	217	239	235	235	217	207	205	156	92	2
280	202	226	236	220	222	235	238	226	243	162	98	2
256	220	223	225	233	226	254	230	242	219	160	71	2
284	225	215	239	227	238	224	209	234	230	147	79	2
254	216	231	226	252	221	233	222	216	239	154	71	2
299	223	210	247	225	241	244	224	210	219	163	53	2
311	228	216	217	236	225	239	222	241	226	151	87	2
307	246	218	219	224	249	245	238	219	213	140	57	2
345	266	230	222	234	233	227	230	240	211	157	81	2
273	233	229	224	207	223	203	233	239	222	166	88	2
312	228	225	233	217	240	239	208	227	225	166	78	2
278	226	207	222	228	236	213	195	218	202	150	80	2
299	225	222	248	205	223	239	214	240	230	170	90	2
272	226	220	247	220	223	218	227	236	226	133	88	2
301	218	229	229	229	230	224	210	228	217	144	83	2
258	222	235	224	219	237	222	229	230	235	152	125	2
262	240	222	216	232	225	242	234	233	233	157	74	2
298	224	219	219	218	223	221	225	242	241	155	89	2
298	224	219	219	218	223	221	225	242	241	155	89	2
256	243	228	241	221	238	242	222	232	238	149	87	2
263	240	209	219	236	226	220	219	230	221	214	136	2
289	246	206	227	241	221	232	232	217	225	151	91	2
251	211	240	218	238	234	243	228	207	207	171	96	2
300	219	207	238	224	240	215	235	218	226	177	89	2
234	226	223	236	229	222	226	233	239	200	177	114	2
305	200	182	232	245	220	230	245	224	219	160	55	2
223	229	233	221	240	227	234	228	227	228	148	96	2
320	240	207	203	195	206	217	238	218	246	180	120	2
121	130	131	142	154	153	130	121	131	137	136	49	3
122	154	149	171	166	139	160	151	161	152	180	154	3
110	108	111	118	117	130	115	119	164	151	123	121	3
107	101	112	108	132	120	115	112	155	160	141	166	3
111	126	144	160	158	161	164	161	168	149	156	0	3
106	115	101	103	108	113	115	124	114	108	110	125	3
58	123	108	98	114	111	101	106	107	118	115	77	3
102	108	103	103	110	107	103	108	127	129	113	5	3
100	123	129	158	174	166	158	154	162	157	164	32	3
120	105	103	104	107	116	116	107	102	111	101	3	3
103	100	105	113	119	106	107	109	116	107	109	110	3
110	120	143	155	140	140	146	142	139	140	120	21	3
41	148	155	157	149	145	153	149	148	146	148	50	3
119	161	154	157	155	152	159	156	154	155	96	2	3
41	121	107	103	114	107	107	106	109	113	109	105	3
95	105	107	113	106	112	107	110	113	112	105	110	3
74	105	103	105	108	113	113	113	109	115	113	103	3
78	107	101	110	102	114	105	110	115	115	115	120	3
107	111	106	107	102	111	115	112	114	112	111	74	3
53	184	146	187	192	174	154	172	116	106	114	131	3
47	168	176	116	114	123	146	138	158	172	157	139	3
27	115	118	120	205	166	133	131	122	137	169	170	3
63	104	105	111	196	138	162	150	171	138	161	158	3
106	110	112	123	110	120	107	116	143	199	181	163	3
92	113	150	137	125	111	121	121	118	108	111	116	3
531	380	379	384	380	382	384	379	381	256	17	5	0
567	379	384	378	383	383	384	378	379	378	188	0	0
109	109	111	108	111	121	118	113	131	111	109	103	3
110	109	116	113	121	109	103	111	112	110	110	109	3
377	533	537	537	533	534	537	546	617	153	50	0	1
67	536	538	531	543	539	546	546	537	533	527	24	1
562	379	379	382	387	378	382	398	379	378	126	5	0
462	393	380	380	389	378	383	389	378	417	0	5	0
298	218	246	209	230	223	236	215	204	210	141	103	2
263	239	214	227	227	257	214	232	230	229	188	109	2
317	235	242	239	209	219	223	237	221	189	169	89	2
301	211	222	224	237	226	247	234	224	224	154	77	2
534	537	537	542	534	536	534	534	539	426	0	1	1
78	533	535	538	534	529	543	535	526	543	495	4	1
136	533	539	541	533	535	532	550	538	534	458	2	1
446	530	539	548	528	526	537	534	532	451	0	1	1
692	379	378	387	378	378	387	378	387	387	187	0	0
541	387	380	390	382	379	385	393	376	381	140	0	0
